Chorizo & mozzarella gnocchi bake,36,13,1.0,1.0,Upgrade cheesy tomato pasta with gnocchi\n chorizo and mozzarella for a comforting bake that makes an excellent midweek meal
Easy butter chicken,12,37,18.0,1.0,Fancy a healthy version of your favourite Friday night chicken curry? The chicken can be marinated the day before so you can get ahead on your prep
Easy classic lasagne,54,37,52.0,1.0,Kids will love to help assemble this easiest ever pasta bake with streaky bacon\n beef mince\n a crème fraîche sauce and gooey mozzarella
Thai fried prawn & pineapple rice,32,21,10.0,1.0,This quick\n low calorie supper is perfect for a busy weeknight. Cook your rice in advance to get ahead - run it under cold water to chill quickly\n then freeze in a food bag for up to one month
One-pan spaghetti with nduja fennel & olives,72,20,25.0,1.0,A spicy sausage pasta dish with a difference. Using the cooking water helps the sauce cling to the pasta and gives the dish more body. A silky smooth sauce\n perfect pasta and one pan to wash!
Easy pancakes,7,3,2.0,1.0,Learn a skill for life with our foolproof crêpe recipe that ensures perfect pancakes every time - elaborate flip optional
Easy chicken fajitas,77,39,26.0,1.0,Need a simple\n vibrant midweek meal the family will love? Put together these easy chicken fajitas and people can serve up their own DIY masterpieces
Piri-piri chicken with smashed sweet potatoes & broccoli,74,32,23.0,1.0,Serve up an easy one-pan traybake of piri-piri chicken with sweet potatoes and broccoli. As well as being simple to make\n it delivers three of your 5-a-day
Easy meatballs,21,25,21.0,1.0,BBC Good Food magazine's food editor Barney & his daughter Maisie love making these sausage and beef meatballs to serve on spaghetti with hidden vegetable tomato sauce
Easy beef hotpot,55,29,10.0,1.0,Stretch a pack of mince to make this hearty dish. It's perfect eaten straight from the bowl with a spoon and some crusty bread on a cold winter's night
Frying pan pizza with aubergine ricotta & mint,85,20,31.0,1.0,This recipe ensures a crispy-bottomed pizza without ever turning on the oven. It's easy\n veggie and 2 of your 5-a-day
Easy huevos rancheros,32,27,46.0,1.0,An easy Mexican breakfast that'll keep you going all morning\n it's got everything you need to pep up your plate
Vegetarian chilli,88,22,14.0,1.0,The easiest chilli you'll ever make\n with ready-to-eat grains\n kidney beans in chilli sauce and summer veggies - it's 4 of your 5-a-day too!
Easy chicken tagine,14,39,11.0,1.0,Simple one-pots are perfect for the busy cook. This chicken tagine is great eaten with cous cous for something a bit more filling
Easy chicken Kiev,18,38,12.0,1.0,Homemade chicken Kievs don't have to mean hours in the kitchen. Just add spuds and salad before serving
Ultimate chorizo ciabatta,74,37,46.0,1.0,Crusty ciabatta\n spicy chorizo\n a generous dollop of pesto and sweet roasted peppers make a moreish combination. Serve warm for a quick supper you'll really enjoy
Easy vegan burgers,54,5,2.0,1.0,Make vegan burgers with polenta and spice with cumin\n chilli and coriander. Cook in the oven or on the barbecue and serve with a plant-based salsa
Easy sweet & sour chicken,38,36,2.0,1.0,Ditch the takeaway and make our simple sweet and sour chicken recipe. This speedy Chinese-style rice dish is ready in under 30 minutes and packed with zingy flavours.
Asian prawn & quinoa salad,22,19,14.0,1.0,This fresh salad is 3 of your 5-a-day. With zingy lime and a hit of chilli heat\n it's also a great introduction to quinoa if you haven't tried it before
Quick & easy hot-and-sour chicken noodle soup,33,42,12.0,1.0,Keep tasting the broth and add as much chilli and rice vinegar as you like to get the right balance of flavours
Easy cheesy frittata,3,16,13.0,1.0,This simple lunch dish is a great way of getting children aged 5-9 involved in the kitchen
Easy peasy lentil curry,76,14,10.0,1.0,Cooking with virtue; fast\n cheap and healthy vegetarian lentil curry\n that's also low in fat and freezable
Easy green vegetable soup,16,7,3.0,1.0,Cook a bowlful of goodness inspired by the most famous soup connoisseur in the galaxy\n the Soup Dragon\n from the hit children's show Clangers
Chicken stir-fry in 4 easy steps,76,42,5.0,1.0,Asian cooking can be light\n healthy and so quick that you’ll think twice before ever ordering a takeaway again!
Easy veggie biryani,57,9,6.0,1.0,This tasty Indian-inspired dish is faster than a takeaway
Steak panzanella salad with roasted lemons,29,24,24.0,1.0,Bavette with sharp\n sweet roasted lemons and crisp\n spiced pitta bread makes a hearty meal that will satisfy even salad-phobics
Easy meatloaf with spaghetti & tomato sauce,83,34,18.0,1.0,Two classics combined\n meatloaf flavoured with sage and feta plus pasta and tomato sauce - guaranteed to please
Easy gooseberry cobbler,53,5,4.0,1.0,This low-fat and satisfying cobbler is the perfect way to end a roast lunch with friends in summer
Easy tomato pizzas,45,6,5.0,1.0,These colourful\n flavour-packed pizzas are low-fat and delicious too
Easy falafels,11,5,7.0,1.0,Pair John Torode's easy falafels with soft flatbreads\n well-spiced humous and crunchy pickles for a magnificent meze of a lunch\n or a shareable starter
Easy oven frittata,29,16,12.0,1.0,Sure to become a firm family favourite\n this dish is packed with peas\n sweetcorn and peppers - it'll help you get your 5-a-day
Salmon & dill fish cakes in 4 easy steps,27,27,25.0,1.0,Everybody loves fish cakes\n and even the complete beginner can master these mouthwatering morsels
Quiche Lorraine in 4 easy steps,31,14,49.0,1.0,Intimidated by quiche and all that pastry making? Try this beginners guide and you'll be surprised how simple it can
Chickpea & roasted parsnip curry,41,14,30.0,1.0,Parsnips work so well in this wintry vegan curry\n adding flavour and texture. Serve with naans to soak up the lovely sauce
Easy spiced salmon kedgeree,62,28,36.0,1.0,Smoked salmon adds a new twist to this kedgeree - it's perfect for Saturday brunch
Really easy beefburgers,26,39,27.0,1.0,Perfect for getting the kids cooking\n these burgers are fun to make\n freeze well and are super tasty too
Easy noodles,58,32,19.0,1.0,This simple version of a Malaysian classic is microwaved in a single bowl - an easy supper for 4
